Doctor Name,Specialty,City,State,Rating
DR. MICHAEL TURNER,ORTHOPEDIC SURGEON,AUGUSTA,GA,4.2
DR. LINDSAY ADAMS,DERMATOLOGIST,ROME,GA,4.15
DR. WILLIAM ELLIOTT,CARDIOLOGIST,ATLANTA,GA,4.59
DR. PAIGE LONG,NEPHROLOGIST,ROSWELL,GA,4.55
DR. ADAM PARKER,ALLERGIST,JOHNS CREEK,GA,3.89
DR. MARCUS MOORE,PEDIATRICIAN,DUNWOODY,GA,4.55
DR. HANNAH SCOTT,PULMONOLOGIST,WARNER ROBINS,GA,3.82
DR. SAMUEL EDWARDS,ORTHOPEDIC SURGEON,ATHENS,GA,3.57
DR. CHLOE WARD,ENT SPECIALIST,MACON,GA,4.68
DR. MELISSA FIELDS,ENT SPECIALIST,SANDY SPRINGS,GA,4.33
DR. MEGAN SANDERS,ENT SPECIALIST,SANDY SPRINGS,GA,4.19
DR. GRACE ADAMS,GENERAL PRACTITIONER,NEWNAN,GA,4.65
DR. RACHEL LONG,GENERAL PRACTITIONER,ROME,GA,4.24
DR. BENJAMIN MOORE,GENERAL PRACTITIONER,JOHNS CREEK,GA,4.78
DR. LAURA TURNER,ENDOCRINOLOGIST,JOHNS CREEK,GA,3.6
DR. MELISSA BENNETT,DERMATOLOGIST,ROSWELL,GA,4.81
DR. KEVIN PARKER,ENDOCRINOLOGIST,ROSWELL,GA,3.92
DR. MICHAEL MITCHELL,ALLERGIST,COLUMBUS,GA,4.07
DR. CHRIS LONG,PEDIATRICIAN,AUGUSTA,GA,4.5
DR. MELISSA GREEN,NEPHROLOGIST,GAINESVILLE,GA,4.5
DR. SAMUEL KELLY,ENDOCRINOLOGIST,COLUMBUS,GA,3.63
DR. MELISSA FIELDS,ONCOLOGIST,WARNER ROBINS,GA,4.58
DR. PETER BENNETT,ENT SPECIALIST,PEACHTREE CITY,GA,4.05
DR. DAVID POWELL,RHEUMATOLOGIST,WARNER ROBINS,GA,3.79
DR. DAVID GONZALEZ,DERMATOLOGIST,ATHENS,GA,3.69
DR. CHLOE COLLINS,ENDOCRINOLOGIST,COLUMBUS,GA,3.98
DR. JULIA GREEN,ENDOCRINOLOGIST,COLUMBUS,GA,3.95
DR. VICTORIA POWELL,ONCOLOGIST,ROME,GA,4.41
DR. WILLIAM HARRIS,NEUROLOGIST,MARIETTA,GA,4.28
DR. MARCUS GREEN,ORTHOPEDIC SURGEON,SAVANNAH,GA,4.23
DR. ZOE THOMAS,ONCOLOGIST,ROSWELL,GA,4.52
DR. ETHAN PARKER,PULMONOLOGIST,ALBANY,GA,3.93
DR. PETER GONZALEZ,ORTHOPEDIC SURGEON,ALBANY,GA,3.82
DR. SARAH ROSS,OPHTHALMOLOGIST,GAINESVILLE,GA,4.03
DR. ADAM ELLIOTT,ENT SPECIALIST,SANDY SPRINGS,GA,4.05
DR. ZOE RILEY,PEDIATRICIAN,MARIETTA,GA,4.78
DR. SAMUEL WHITE,PULMONOLOGIST,GAINESVILLE,GA,4.05
DR. LINDSAY MITCHELL,PULMONOLOGIST,NEWNAN,GA,4.38
DR. MARCUS KELLY,ORTHOPEDIC SURGEON,JOHNS CREEK,GA,4.18
DR. CHLOE TURNER,GENERAL PRACTITIONER,SAVANNAH,GA,4.33
DR. ASHLEY COLLINS,ONCOLOGIST,ALBANY,GA,4.27
DR. CHLOE SIMMONS,RHEUMATOLOGIST,ATLANTA,GA,4.2
DR. KEVIN BENNETT,PULMONOLOGIST,SAVANNAH,GA,4.18
DR. MEGAN KIM,OPHTHALMOLOGIST,SAVANNAH,GA,3.66
DR. MATTHEW HARRIS,CARDIOLOGIST,ALPHARETTA,GA,4.46
DR. VICTORIA MURPHY,ONCOLOGIST,SAVANNAH,GA,4.83
DR. STEVEN MOORE,ALLERGIST,ATLANTA,GA,3.59
DR. MATTHEW RIVERA,ENT SPECIALIST,NEWNAN,GA,4.45
DR. ASHLEY DIAZ,GENERAL PRACTITIONER,NEWNAN,GA,4.14
DR. SAMUEL SCOTT,PEDIATRICIAN,JOHNS CREEK,GA,3.86
DR. KEVIN GONZALEZ,ENT SPECIALIST,ROSWELL,GA,4.08
DR. PAIGE GREEN,CARDIOLOGIST,ALBANY,GA,4.18
DR. MEGAN KIM,ORTHOPEDIC SURGEON,ROME,GA,4.07
DR. KEVIN ROSS,GENERAL PRACTITIONER,MARIETTA,GA,3.66
DR. ETHAN MOORE,PULMONOLOGIST,ROSWELL,GA,3.78
DR. STEVEN KELLY,NEPHROLOGIST,NEWNAN,GA,4.89
DR. MELISSA KELLY,ONCOLOGIST,ALPHARETTA,GA,3.95
DR. LINDSAY MOORE,RHEUMATOLOGIST,NEWNAN,GA,4.98
DR. MEGAN PARKER,ALLERGIST,PEACHTREE CITY,GA,4.57
DR. MARCUS WHITE,GENERAL PRACTITIONER,ATLANTA,GA,4.67
DR. ANDREA FOSTER,RHEUMATOLOGIST,NEWNAN,GA,4.78
DR. MICHAEL SANDERS,OPHTHALMOLOGIST,ATHENS,GA,4.66
DR. STEVEN MOORE,ORTHOPEDIC SURGEON,ROSWELL,GA,4.87
DR. RYAN WARD,ENDOCRINOLOGIST,JOHNS CREEK,GA,4.69
DR. MEGAN EDWARDS,GENERAL PRACTITIONER,ALPHARETTA,GA,4.95
DR. HANNAH ADAMS,ENDOCRINOLOGIST,SANDY SPRINGS,GA,3.82
DR. BRITTANY WHITE,PULMONOLOGIST,ALPHARETTA,GA,4.69
DR. CHLOE RIVERA,DERMATOLOGIST,JOHNS CREEK,GA,4.37
DR. PETER TURNER,ENDOCRINOLOGIST,JOHNS CREEK,GA,4.36
DR. GRACE SCOTT,ONCOLOGIST,AUGUSTA,GA,4.59
DR. ETHAN KELLY,ENT SPECIALIST,PEACHTREE CITY,GA,4.13
DR. ASHLEY SIMMONS,ONCOLOGIST,JOHNS CREEK,GA,4.56
DR. DEREK RILEY,ALLERGIST,AUGUSTA,GA,4.6
DR. SARAH FIELDS,NEPHROLOGIST,SAVANNAH,GA,4.51
DR. WILLIAM LONG,CARDIOLOGIST,DUNWOODY,GA,4.57
DR. ASHLEY KELLY,CARDIOLOGIST,MACON,GA,4.47
DR. RYAN LONG,ONCOLOGIST,MACON,GA,3.87
DR. SARAH ADAMS,PEDIATRICIAN,ROSWELL,GA,4.57
DR. WILLIAM RIVERA,PULMONOLOGIST,ROME,GA,4.2
DR. SOPHIA KIM,GENERAL PRACTITIONER,PEACHTREE CITY,GA,3.91
DR. PAIGE HAYES,NEUROLOGIST,DUNWOODY,GA,3.75
DR. JESSICA CARTER,ENDOCRINOLOGIST,ATHENS,GA,4.67
DR. VICTORIA ELLIOTT,ORTHOPEDIC SURGEON,GAINESVILLE,GA,3.87
DR. DAVID HUGHES,CARDIOLOGIST,PEACHTREE CITY,GA,3.61
DR. BRITTANY TURNER,DERMATOLOGIST,COLUMBUS,GA,4.63
