Doctor Name,Specialty,City,State,Rating
Dr. Robert Johnson,Cardiology,Atlanta,GA,4.5
Dr. Patricia Williams,Dermatology,Atlanta,GA,4.0
Dr. Michael Davis,Neurology,Atlanta,GA,3.9
Dr. James Jones,Orthopedics,Atlanta,GA,4.3
Dr. James Brown,Pediatrics,Atlanta,GA,4.4
Dr. John Davis,Oncology,Atlanta,GA,4.8
Dr. Jennifer Smith,Endocrinology,Atlanta,GA,4.2
Dr. Michael Brown,Psychiatry,Atlanta,GA,3.9
Dr. Michael Jones,Urology,Atlanta,GA,3.7
Dr. John Brown,Gastroenterology,Atlanta,GA,4.5
Dr. Mary Jones,Cardiology,Augusta,GA,3.4
Dr. Mary Davis,Dermatology,Augusta,GA,4.9
Dr. Linda Jones,Neurology,Augusta,GA,3.6
Dr. Robert Davis,Orthopedics,Augusta,GA,3.1
Dr. Linda Smith,Pediatrics,Augusta,GA,4.4
Dr. Mary Johnson,Oncology,Augusta,GA,3.4
Dr. James Williams,Endocrinology,Augusta,GA,4.9
Dr. Mary Jones,Psychiatry,Augusta,GA,3.8
Dr. Jennifer Davis,Urology,Augusta,GA,4.4
Dr. Mary Smith,Gastroenterology,Augusta,GA,4.9
Dr. James Brown,Cardiology,Columbus,GA,3.8
Dr. Robert Williams,Dermatology,Columbus,GA,4.4
Dr. Robert Johnson,Neurology,Columbus,GA,3.9
Dr. Patricia Davis,Orthopedics,Columbus,GA,4.5
Dr. Jennifer Jones,Pediatrics,Columbus,GA,4.9
Dr. Linda Davis,Oncology,Columbus,GA,4.3
Dr. James Brown,Endocrinology,Columbus,GA,4.7
Dr. John Johnson,Psychiatry,Columbus,GA,4.8
Dr. James Williams,Urology,Columbus,GA,4.9
Dr. Jennifer Williams,Gastroenterology,Columbus,GA,4.0
Dr. Linda Johnson,Cardiology,Macon,GA,3.2
Dr. Robert Brown,Dermatology,Macon,GA,4.8
Dr. Robert Jones,Neurology,Macon,GA,3.5
Dr. Michael Davis,Orthopedics,Macon,GA,4.5
Dr. Jennifer Johnson,Pediatrics,Macon,GA,4.7
Dr. John Smith,Oncology,Macon,GA,4.3
Dr. Linda Smith,Endocrinology,Macon,GA,4.9
Dr. John Jones,Psychiatry,Macon,GA,4.2
Dr. Robert Smith,Urology,Macon,GA,4.8
Dr. John Brown,Gastroenterology,Macon,GA,4.1
Dr. Mary Williams,Cardiology,Savannah,GA,4.4
Dr. Michael Johnson,Dermatology,Savannah,GA,4.1
Dr. Patricia Jones,Neurology,Savannah,GA,3.2
